time,open,high,low,close,成交股數,成交金額,成交筆數,漲跌點數,外資買賣差額
2000-01-04,8644.91,8803.61,8642.5,8756.55,3902921000,228618317680,942921,307.71,
2000-01-05,8690.6,8867.68,8668.02,8849.87,4602396059,252757881194,1143702,93.32,
2000-01-06,8876.59,9023.99,8863.91,8922.03,4811126992,268146298907,1185339,72.16,
2000-01-07,8856.87,8940.77,8739.43,8845.47,4481003273,222699371710,1104634,-76.56,
2000-01-10,8918.6,9126.02,8891.79,9102.6,4363059308,244443735507,1064460,257.13,
2000-01-11,9199.1,9332.52,8890.45,8927.03,5395525668,326462532039,1369966,-175.57,
2000-01-12,8964.78,9144.65,8937.31,9144.65,3937299088,236705507097,999727,217.62,
2000-01-13,9168.73,9237.85,9095.35,9107.19,4566289371,259632864390,1131492,-37.46,
2000-01-14,9172.17,9236.85,8967.56,9023.24,3834580349,206415942814,974748,-83.95,
2000-01-15,9155.74,9210.37,9105.02,9191.37,3283833100,183597969053,830188,168.13,
2000-01-17,9256.57,9384.52,9230.39,9315.43,4058472000,199834574910,909939,124.06,
2000-01-18,9346.98,9353.89,9210.36,9250.19,3858552244,173467874086,910066,-65.24,
2000-01-19,9255.7,9335.73,9150.86,9151.44,3628638935,164058480957,870494,-98.75,
2000-01-20,9175.27,9211.34,9077.7,9136.95,3136783265,137848648879,742819,-14.49,
2000-01-21,9170.41,9305.27,9170.41,9255.94,3561639699,184954775353,845844,118.99,
2000-01-24,9327.98,9425.87,9327.98,9387.07,4197952794,195947903655,935596,131.13,
2000-01-25,9411.1,9413.21,9308.01,9372.37,3916167179,164743905242,895651,-14.7,
2000-01-26,9469.74,9617.32,9469.74,9581.96,4711541072,220659626112,1050657,209.59,
2000-01-27,9639.86,9733.26,9618.3,9628.98,5061179542,205386429148,1095436,47.02,
2000-01-28,9600.45,9753.72,9600.45,9696.91,5081101907,205955116078,1103721,67.93,
2000-01-29,9618.78,9677.55,9585.82,9636.38,3678064641,146354889286,845910,-60.53,
2000-01-31,9653.24,9749.51,9613.8,9744.89,3256332000,152936476050,751444,108.51,
2000-02-01,9829.68,9901.8,9800.63,9856.39,4477717839,200229304790,1020545,111.5,
2000-02-09,10039.67,10137.24,9932.07,10008.88,4666126000,231150170760,1020787,152.49,
2000-02-10,10008.38,10098.3,9957.66,10057.67,5272457368,215373054951,1148947,48.79,
2000-02-11,10125.51,10227.33,10096.54,10128.67,5697465562,253625128897,1246053,71.0,
2000-02-14,10140.65,10167.71,9963.5,9971.45,4852586607,204704817650,1121956,-157.22,
2000-02-15,9982.27,10014.25,9853.86,9957.74,4059666238,159764374978,924541,-13.71,
2000-02-16,10010.87,10099.97,10010.87,10064.49,4348011703,182187922211,966277,106.75,
2000-02-17,10089.89,10267.46,10089.89,10202.2,5728086880,241192590726,1230280,137.71,
2000-02-18,10266.79,10393.59,10062.23,10096.38,6390746119,259770938437,1398530,-105.82,
