ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,81.75,-1,82.0,-1,81.7,1,81.75,1,81.85
51,1,34.22,-1,34.26,-1,34.18,1,34.22,1,34.35
52,1,51.35,-1,51.45,-1,51.45,1,51.25,1,51.55
53,1,36.25,-1,36.37,-1,36.31,1,36.27,1,36.4
54,1,24.59,-1,24.62,-1,24.52,1,24.57,1,24.71
55,1,17.53,-1,17.56,-1,17.55,1,17.54,1,17.6
56,1,26.28,-1,26.29,-1,26.2,1,26.21,1,26.34
57,1,50.05,-1,50.1,-1,50.1,1,50.1,1,50.15
58,1,47.75,-1,47.78,-1,47.82,1,47.79,1,47.83
59,1,42.78,-1,42.86,-1,42.87,1,42.8,1,42.87
6201,1,14.46,-1,14.46,-1,14.42,1,14.47,1,14.49
6203,1,38.13,-1,38.2,-1,38.17,1,38.13,1,38.3
6204,1,55.05,-1,55.05,-1,54.95,1,55.15,1,55.3
6208,1,47.73,-1,47.86,-1,47.75,1,47.67,1,47.92
690,1,22.11,-1,22.18,-1,22.17,1,22.14,1,22.31
692,1,21.13,-1,21.19,-1,21.18,1,21.15,1,21.31
701,1,21.2,-1,21.26,-1,21.25,1,21.22,1,21.38
713,1,30.76,-1,30.85,-1,30.85,1,30.8,1,31.03
